split,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
train,0,0.5448,0.0968,-1.3588,-0.0099,-0.4609,0.8909,0.1431,-0.2448,-0.1081,-1.7049,-0.7681,-1.2531,-1.4906,-0.1576,0.3054,-0.2935
train,0,-0.1538,-0.0229,-0.4732,0.1869,1.433,0.0354,0.4248,0.8004,-0.1584,-1.0078,-0.4443,0.8589,-1.317,-0.4783,0.8059,0.6342
train,0,0.0847,0.2191,0.7173,0.5058,1.669,0.2952,0.6546,0.2753,1.0768,-0.1819,0.2015,0.6123,-1.45,-0.0744,-0.6028,-0.0294
train,2,7.3636,4.6624,5.9383,7.0226,7.4353,5.4655,6.2653,6.3092,5.7098,6.1104,6.0183,6.3112,5.3213,4.775,6.3697,5.7207
train,2,5.5259,5.4009,5.9915,6.4346,4.7014,6.2669,7.3811,6.9275,6.6187,7.0139,6.2059,7.2353,6.8131,5.9697,5.3387,6.3567
train,0,-0.0276,-0.1563,-0.8129,-0.2872,0.7133,0.0814,-0.6824,-0.6733,2.1333,0.9119,0.5099,-2.0743,0.4972,0.3846,1.3473,0.3422
train,1,3.0537,1.52,3.7034,2.0265,3.7699,2.7283,2.0632,2.7807,2.2884,3.0241,2.7395,4.4105,3.6911,4.5526,2.9825,3.1464
train,0,0.1066,-0.3171,0.1839,-0.2333,0.5725,-0.668,-0.5394,0.8601,0.5659,-0.2809,0.6735,0.7102,0.028,0.3842,0.1358,0.2184
train,0,1.0256,-0.465,-0.5329,-0.1054,-1.1259,0.3999,-0.1856,1.4316,0.2194,-0.0076,0.9433,0.1097,0.9522,-0.1322,0.0236,0.8705
train,2,6.3572,5.2274,4.4831,6.0477,5.2556,6.5919,5.1327,3.8972,5.1684,7.2625,5.6946,4.9045,5.3893,6.4167,6.3975,6.1414
train,0,-1.1613,-1.1678,-0.2449,0.1139,-0.3978,-0.6749,-2.1266,-0.0794,-0.9997,-0.7147,0.4917,0.1436,-0.0081,0.0677,-0.4696,0.5385
train,2,5.9056,6.1896,6.4145,5.6223,6.2957,6.6599,6.5592,6.3254,5.6636,5.4981,6.0573,5.6556,6.1823,5.5931,5.3155,5.5847
train,1,2.8053,3.5489,2.1566,2.4971,3.004,1.8288,2.6513,1.3929,2.4537,3.4547,3.4531,2.9564,2.8143,1.8665,4.4623,3.4128
train,2,5.0932,5.0662,6.167,5.5949,5.0627,5.859,6.7355,4.7552,6.4894,5.0601,6.9478,5.2439,5.7984,5.458,6.4194,6.0832
train,1,3.7527,2.8043,2.7537,3.0777,3.9782,3.1163,3.0214,3.6257,2.7061,3.0815,4.5575,2.2968,3.8189,3.5338,2.9757,2.0937
train,0,0.3324,-0.4817,0.0234,-0.579,-0.5226,-0.7186,0.1806,-0.2638,0.557,-0.3512,1.0839,0.3279,0.3456,1.0259,-0.5709,1.0117
train,2,5.6526,6.9762,6.2822,6.0222,5.8594,7.1862,5.5734,4.8778,5.7551,6.9329,5.1254,6.1974,7.2455,7.1478,6.6934,8.1004
train,1,3.8814,3.0973,3.8929,1.0993,2.3988,3.1976,3.482,4.8692,3.258,4.0239,3.6132,3.7579,3.408,2.8751,3.4073,2.1375
train,0,-0.1677,-0.5556,0.739,-0.5533,0.067,0.0105,-0.8746,0.0457,-0.1413,0.4173,-0.3882,0.5793,0.0254,-0.0398,0.0071,-1.5292
train,0,0.4908,-0.1948,1.3094,0.0966,-0.0059,0.2932,-1.2461,1.0288,1.6168,0.8418,0.0558,-1.5691,-0.0498,0.2556,-0.5966,-0.9664
train,0,0.0027,0.6288,-0.5179,-0.0357,-1.4,1.4293,1.0926,-0.9722,-1.2042,-1.2968,0.9406,-0.3676,-0.0484,-0.2502,-0.0969,-0.8705
train,0,-0.4043,-0.5178,1.7433,0.5541,0.6301,0.6487,-0.3734,0.5595,-0.1507,-2.1834,-0.0746,1.1663,-0.3207,0.9697,-0.3814,0.2983
train,0,0.8395,0.4289,0.3831,-0.9362,-0.6886,0.2095,0.0491,-0.8434,-0.5717,-0.177,0.4645,0.9073,-0.3234,0.6953,0.1959,-0.5007
train,0,-0.0018,-0.8255,-0.8357,0.5022,-0.52,0.5079,0.5966,0.2452,0.4064,-0.0837,-1.1273,-0.0241,0.3634,-0.4235,-0.0796,0.5994
train,1,2.482,2.3253,2.4423,4.358,3.409,2.9167,1.7885,3.6154,3.7026,1.0192,2.6888,3.0199,4.6624,2.2208,2.1147,2.8434
train,1,3.0037,3.3844,3.5498,3.8022,2.211,1.2648,2.796,1.8631,3.0821,2.1193,2.7845,2.9277,3.1173,2.4298,4.0094,2.4444
train,1,4.0916,2.7375,2.1554,2.8485,3.0318,2.6352,2.4033,4.8229,3.2228,3.5808,3.0097,2.9628,0.392,2.3743,2.8753,3.6865
train,0,-0.5782,0.0904,0.0376,2.0343,-0.1927,-0.658,0.9308,0.1282,-0.3816,-0.7427,-0.0541,1.1857,0.5115,-0.26,0.7101,0.1545
train,1,2.4787,3.6118,3.6644,3.0282,3.1683,2.7529,2.4651,3.0145,3.0523,2.4773,2.3872,3.1365,3.2951,2.7538,2.2168,2.2305
train,0,-1.7495,0.1648,1.0085,0.3732,0.2359,-0.126,1.0654,0.1593,-1.0848,0.638,0.3517,0.8004,-0.1642,-0.6751,0.2464,0.2124
train,0,-0.2448,0.4503,1.2189,-0.5195,1.1586,0.2353,-0.5597,0.5348,-0.2392,0.4244,0.6481,0.0117,-1.1881,1.6039,1.4721,1.4484
train,0,-0.9987,0.9363,-0.5206,1.347,1.0651,0.6551,0.3342,0.9416,-0.6672,0.2339,-0.0722,-0.9047,-0.4089,-0.4446,-0.5747,-0.5777
train,1,3.2807,3.0625,3.5405,2.7032,2.9708,1.2888,2.6614,3.5406,4.0694,2.7088,2.9029,4.2668,2.7394,3.5872,4.3427,3.0318
train,2,6.2776,5.903,6.1752,5.6616,5.8077,5.1251,6.2329,4.6064,7.2577,5.2406,6.6299,6.694,7.8475,6.1011,5.5963,7.1597
train,0,-0.5572,-0.445,-0.3209,0.687,0.0653,-0.3179,0.4348,1.265,0.005,0.2926,0.9918,0.2143,-1.0271,1.9922,1.7667,-1.5879
train,1,2.6124,2.6143,0.8987,4.137,3.4858,2.914,3.5967,3.6594,3.4541,2.6304,1.6608,2.669,3.0836,1.6109,2.8235,3.6231
train,1,2.0859,3.9377,3.1893,3.5727,3.0135,3.4614,3.7849,2.3007,2.6292,3.7128,3.9508,2.9549,3.1698,4.4445,1.5993,0.9848
train,0,1.656,0.0468,0.1033,0.8664,-1.1496,1.166,0.0276,0.2558,-1.2115,-0.8859,0.1087,0.2969,-0.4989,-0.0398,-1.1022,-0.8334
train,2,6.3565,5.8734,5.0842,5.3679,6.1549,6.7515,6.3409,6.4193,5.9666,7.0816,5.6874,5.5602,6.7105,6.0509,5.7772,5.5391
train,1,3.1785,3.0951,2.0807,3.0253,1.8048,3.7779,2.7616,2.6024,1.8624,2.7532,2.4905,3.3812,4.1845,2.9123,2.7741,3.1282
train,2,5.3127,5.6947,4.6165,6.8013,6.7606,5.9838,6.4205,7.2206,6.0249,6.0832,6.6846,5.5133,6.3495,5.2617,6.659,5.4029
train,0,0.1785,0.19,0.9066,1.1315,-0.8314,0.6306,1.1736,-0.5774,0.3495,0.6521,0.2584,0.4177,0.7182,0.3221,0.0317,-1.4177
train,0,-0.4858,1.4451,1.7015,0.477,-0.4316,1.0056,-0.2226,-0.2569,-0.2865,-1.1873,0.8867,-0.7229,0.6918,-0.8738,-0.3971,-0.3489
train,1,3.2295,3.5122,2.2191,3.5693,2.6949,3.2739,3.0237,4.285,3.1852,2.8606,1.7554,2.4859,4.4833,3.3623,3.7994,3.7295
train,2,6.8089,4.8719,5.5929,5.4469,6.0037,6.7944,5.363,6.7005,6.029,6.0605,6.8917,5.9221,4.9507,6.3643,6.6394,4.6181
train,1,2.7584,3.1748,2.519,3.5921,3.3058,2.1028,2.873,2.8077,4.2351,4.3198,2.5022,4.1762,4.1709,3.6434,3.9188,2.2861
train,0,0.2926,0.048,-0.9261,-0.8075,0.3282,0.2701,0.4964,-0.4338,0.5325,-1.3209,-0.4993,-1.1769,0.2731,1.4888,-0.4689,-0.3901
train,1,3.5107,2.6117,3.1785,2.5919,1.2025,2.9749,3.1617,3.6035,2.2991,2.9735,3.4937,3.1163,3.994,4.5933,2.2731,1.4633
train,0,0.164,-0.605,0.0289,-0.2508,1.3097,-1.6183,-0.9293,0.2824,-0.6393,-1.5778,-0.0126,0.9909,0.8128,-1.0264,-0.5368,0.5612
train,1,2.3314,2.6468,3.0794,2.1391,3.5862,4.1826,4.4135,3.4425,2.9738,4.1421,4.0569,2.8938,2.6425,2.4066,3.2098,3.0024
train,0,-0.2855,1.0845,-0.6617,0.3764,0.8848,0.2739,-0.1858,-0.1587,0.9754,0.347,-0.3225,0.9186,-0.8072,-0.1757,-0.1354,0.4067
train,1,2.3536,2.3623,4.2448,4.4075,3.0183,3.4546,3.9403,3.646,3.9643,1.9896,2.4885,3.3621,4.1483,3.0831,2.3133,2.7164
train,2,5.0436,5.4861,5.0735,5.8972,6.0115,6.0195,6.1675,6.0682,6.1853,6.4332,6.3202,5.8017,5.111,5.2394,6.2687,6.7811
train,2,5.2597,5.4024,5.0768,4.8614,6.3139,6.6126,5.9217,6.2398,7.0738,5.1043,5.9805,5.9118,6.7397,4.9032,4.7148,6.285
train,1,4.219,5.407,2.9175,4.1469,4.2046,4.1786,4.7064,2.133,2.9781,3.2619,2.2071,2.0907,2.2982,1.3576,3.6593,2.8823
train,0,0.8182,0.4868,0.8379,1.5189,0.2935,-0.4516,0.9594,1.4948,0.2832,0.7415,-0.6287,-0.4642,1.0789,-1.4478,1.5254,-0.1765
train,2,4.4972,6.2916,5.4895,4.5055,4.8139,6.4938,5.3798,5.7065,6.2644,7.0851,7.5528,6.826,6.1149,6.1473,7.4417,7.1429
train,1,4.2302,2.8242,3.4285,3.0842,2.8535,2.8147,3.2253,3.1023,3.8406,1.9372,3.6229,4.8892,1.8449,2.7502,3.9775,2.0787
train,2,6.3578,5.8695,6.1071,6.3749,7.5159,6.3331,6.431,4.9505,6.5136,4.9929,5.9146,6.3569,7.0998,6.7767,6.1957,6.6736
train,1,2.9479,3.7419,3.2281,2.8928,3.1087,1.2464,3.1309,1.922,2.3485,3.0986,2.9615,1.5892,3.9488,3.1887,3.7338,3.5212
train,0,-0.5432,-0.1318,0.2264,-0.2659,0.2077,-0.4427,0.5375,0.0044,0.1689,-2.2021,0.9291,0.0255,-1.4261,0.0764,0.3738,0.8566
train,1,3.928,2.7443,2.5848,2.7785,3.7525,1.2683,3.0558,3.4785,4.2651,2.4872,0.5457,3.1499,2.6515,2.8588,2.8343,3.3171
train,1,4.029,2.1686,1.9825,3.5418,2.5285,3.4899,2.0969,3.4385,4.0817,5.0004,1.692,1.594,3.7506,3.7686,2.5935,1.9876
train,0,-0.4127,0.5796,0.8628,1.2753,-0.6909,-1.1211,0.4164,0.7524,0.1544,-1.0412,0.6257,0.6341,0.4427,-0.3897,0.2432,0.6326
train,2,6.5128,5.0169,5.6381,3.8602,5.8175,4.9282,5.6589,6.4781,6.5953,5.8303,8.4972,5.274,6.599,7.0071,6.1539,6.431
train,0,0.362,-1.2492,-0.4851,0.2102,-0.2461,-0.29,0.2144,0.7637,0.789,0.1708,0.3135,-1.1896,-1.1318,-0.0035,-0.4307,0.1012
train,2,5.9938,5.9161,6.0759,7.5644,5.6784,4.9852,5.0686,4.7643,5.4262,4.9882,6.8236,5.2029,5.5016,5.7105,6.1719,6.3745
train,1,2.5659,4.0384,3.6816,3.4814,3.2554,1.7618,2.5835,2.5586,2.218,3.4073,2.4071,2.4322,2.1645,1.354,3.4762,4.0647
train,0,-0.7103,0.5974,0.2203,-0.0354,-0.4563,-0.1275,0.3772,-1.8632,-0.3666,-0.0445,-0.8908,-0.4508,-0.1956,-0.9384,-0.9637,-1.154
train,2,5.2745,7.0992,3.6534,6.6513,6.3882,6.8788,7.179,5.4694,5.1403,5.2516,5.9879,6.7846,6.293,6.1192,6.9707,5.4295
train,2,5.6241,6.5031,6.2105,7.2989,6.9101,5.6392,6.2792,7.4113,5.5702,6.3467,6.9526,7.0055,6.4149,4.9438,4.9912,6.198
train,0,0.1777,-0.4133,-0.759,-1.3028,0.2318,-0.793,1.3509,-0.0328,-0.8209,-1.124,-1.3739,0.2674,0.153,1.2392,-0.8739,-2.108
train,2,6.023,6.0541,5.8854,5.3601,6.0214,6.6778,5.1607,6.1084,5.2365,5.1083,4.8065,7.3987,6.1673,5.7827,6.8176,4.4652
train,0,-0.7225,-0.1409,-1.0172,-0.5798,0.0774,0.2994,-0.2922,1.0554,-1.3828,-0.7432,0.3451,0.8067,0.119,-0.534,-0.8094,0.569
train,2,6.849,5.3078,6.2321,4.8341,7.1076,5.1287,6.2809,5.55,5.6538,5.0787,5.9563,5.1415,6.7538,5.3157,5.9469,6.582
train,0,-1.0068,0.1709,-1.7292,0.1704,-0.1845,-0.573,0.5532,0.9303,-0.0457,-0.4708,-0.5304,1.1146,-0.6713,0.0101,-0.8233,0.1799
train,2,7.0135,6.5196,5.8737,5.8547,5.0646,5.2294,6.6512,5.701,6.9501,5.8903,4.3001,6.1642,7.2445,6.2691,5.4865,5.4847
train,2,5.3949,6.6764,4.6449,5.7807,6.2089,6.8292,5.1018,6.4764,6.3088,5.4099,6.3817,5.2816,5.3631,5.985,3.8289,5.9123
train,2,5.5997,6.0197,6.4483,7.1822,7.4937,7.5428,8.2931,7.4067,5.1814,6.6036,5.1318,6.5819,5.692,6.2283,7.4236,6.4272
train,1,2.0909,2.2605,3.426,1.2976,2.1541,2.2845,2.1366,2.1166,2.0054,2.3121,3.2769,4.1536,1.6904,3.3549,3.4068,3.3009
train,0,-0.3246,0.1743,0.1192,-0.0556,0.3031,-0.315,-0.4587,1.1725,0.332,-0.3889,0.1586,0.0347,-0.9613,-0.4256,0.8046,-0.4839
train,2,6.3902,6.0986,6.3875,5.0273,6.7588,5.5743,6.7885,6.0702,4.421,4.9703,6.9022,5.8905,5.6836,6.1941,5.6599,5.5644
train,0,-0.5898,-0.6041,1.1882,0.0697,1.5764,-0.1326,0.0807,0.3989,-0.6325,0.1111,-0.7948,-0.3679,-0.0659,-1.8095,-0.8829,0.9904
train,2,6.7963,4.98,6.9717,6.5689,5.7748,5.1401,6.558,5.7474,7.2397,5.7173,6.1375,6.0099,5.1381,4.8028,6.6058,6.3315
train,2,4.3731,4.8161,6.5575,5.0561,5.2111,7.7835,5.8745,5.1076,7.0441,7.8032,7.4745,7.3283,6.7403,7.2345,4.6263,6.2002
train,1,4.3188,2.5245,2.3924,2.7288,5.0059,3.8035,2.566,1.5646,2.4619,3.9498,4.4941,2.7869,2.4469,2.5921,1.4914,3.7266
train,1,2.4095,3.5053,3.0785,2.4207,1.8349,3.3683,2.7255,3.5692,3.9907,4.5037,3.117,1.6063,2.8944,3.4277,4.9434,1.4048
train,0,-0.2331,1.5441,0.4263,-1.1382,0.6326,-0.3809,0.8744,0.5176,0.157,-0.5115,0.0021,-1.8536,0.1095,1.0877,-0.393,-0.8043
train,0,0.9502,-0.4766,0.7874,0.0464,-0.9596,-0.25,-0.1765,0.2272,-0.7788,0.5795,-0.0907,1.5117,-0.41,0.8573,0.1648,0.5282
train,0,0.5244,1.1272,-0.6715,0.7829,-0.7898,0.5552,0.1433,0.1946,0.7742,-0.0139,0.8898,0.7003,0.1084,-0.4534,-0.6028,-0.422
train,2,5.7219,5.7783,6.455,7.5531,5.0252,5.5747,6.4135,7.7757,5.9326,6.3553,4.9864,6.3516,5.6713,5.7325,6.4043,5.3949
train,0,-0.1363,0.1309,0.7502,0.1668,-0.2546,-0.8883,0.9596,-1.4006,0.7451,-0.8672,1.1056,-0.5885,0.5919,0.3754,0.0365,0.3451
train,2,5.4923,5.9793,6.4515,5.376,6.1192,7.2722,6.8965,7.6836,6.2608,5.899,5.8204,5.9381,6.5398,5.6993,4.6923,5.8902
train,1,3.4203,3.1536,3.0589,1.1067,2.7011,2.3958,1.869,2.2676,3.5582,3.4353,2.9819,3.4115,2.5172,3.0569,3.0322,3.4435
train,2,6.7002,5.4367,7.222,5.2521,6.8351,7.2619,6.9808,6.5216,5.0706,6.9519,6.3564,4.0178,6.705,5.646,6.3133,6.0431
train,1,2.7429,3.5243,3.571,3.5073,2.3568,4.1363,3.372,3.7937,3.6604,2.4489,3.492,3.6718,3.0037,3.1815,2.3946,2.7105
train,0,-0.0258,0.3839,-0.8836,0.2496,0.5479,0.7887,-0.9575,-1.0326,0.914,-0.464,0.2058,-0.3466,0.0648,-2.1247,-0.567,0.2579
train,0,0.3231,-0.1644,-0.4175,1.6508,1.205,0.4552,-0.5992,2.1363,1.4438,0.1459,-0.2377,0.3698,1.5116,0.0183,-0.5058,-0.0853
train,1,3.7939,3.2068,2.9152,3.4979,3.5378,2.1909,3.061,3.4934,1.7873,2.1113,3.9952,2.1696,3.0352,2.5045,3.7762,3.9035
train,2,6.3992,5.0202,6.0871,6.2818,5.9112,5.1855,5.9522,5.7342,6.2689,5.3289,6.8732,4.6598,5.859,6.0062,6.7693,5.5133
train,2,5.9476,6.5106,6.3755,5.3332,6.3985,6.6595,5.9362,5.9567,5.1376,5.892,5.5961,5.9602,5.6749,4.563,6.4671,5.4734
train,2,6.7085,5.2272,6.5325,5.603,7.0107,6.8117,5.8279,6.0602,6.1443,5.5952,6.014,6.3443,5.6445,5.67,5.6137,6.9424
train,0,1.8134,0.2227,-0.044,-0.6212,0.5939,-0.9715,-0.5753,0.1326,-0.6983,0.2553,0.4175,0.2795,-0.1289,0.8852,-1.162,-0.6961
train,0,0.5877,0.5662,0.6983,0.812,0.2902,-0.3459,-1.1891,-0.5857,0.7671,1.2845,0.7335,-0.3034,-1.3437,0.7334,-0.7925,-0.1287
train,0,0.1224,-0.717,0.0437,0.7214,-2.0734,0.8883,0.592,-1.6648,0.6167,-1.4241,0.9115,0.3188,1.8019,-0.4886,0.0038,0.8378
train,2,6.3834,6.0279,6.2711,6.6545,6.3621,7.1334,6.1283,6.8261,3.7897,7.6693,5.7628,6.071,8.1368,5.7327,7.5518,6.4012
train,2,5.8808,7.1992,5.8533,6.9893,6.9913,5.4901,5.9965,6.9697,4.2041,6.7948,5.8405,6.6641,5.7568,5.6759,4.3407,4.8831
train,2,6.2737,5.8049,4.4357,5.0038,5.1095,6.3527,7.3357,4.8252,5.4338,5.7009,5.884,4.6913,5.7963,6.8564,5.8076,5.4674
train,1,3.3802,4.2006,2.0221,3.2453,2.3167,2.4142,2.7789,3.5533,3.1703,3.9437,2.2115,3.7114,3.744,3.0556,3.3818,2.5494
train,2,5.7102,6.5646,6.4031,5.6137,6.1573,6.0588,4.9641,5.6553,5.3234,6.9563,4.4917,5.8383,5.1742,7.077,3.6107,5.684
train,2,5.9669,5.5377,5.6122,6.6371,5.4994,5.0123,6.8725,4.7991,4.6974,5.854,5.943,4.6502,4.6144,6.2173,5.5429,4.2848
train,0,-0.3193,0.1942,-0.855,0.5394,0.5958,0.5418,0.455,-0.0202,0.3804,-0.524,-0.2806,-0.2682,0.7328,-0.9865,-0.1767,0.7248
train,1,2.2124,3.6459,2.4724,3.4681,3.3595,1.4849,2.1332,3.0025,3.2736,3.6238,3.6419,3.8274,2.7009,2.8317,3.6206,2.6597
train,2,7.0626,4.2818,6.2389,6.809,6.0993,5.9375,6.9866,6.3031,4.2008,6.0301,6.1463,5.0159,6.9657,5.9899,4.7908,5.8683
train,1,2.7751,3.0514,2.6071,2.2139,3.3002,3.0196,3.1066,3.8142,1.8431,2.9934,3.417,2.7987,3.3167,3.7744,1.8865,3.7916
train,2,5.4561,6.8192,6.1969,5.5518,5.0808,8.0163,6.4409,5.1483,7.3039,7.0857,5.4531,4.6217,7.6713,5.8975,5.5899,6.2225
train,1,3.2205,2.5005,3.6458,2.4869,3.9593,3.381,3.8146,3.6452,2.1304,2.0585,2.9579,2.8903,4.2597,3.022,1.3128,2.4172
train,1,3.5816,2.1105,2.7395,2.5391,1.9845,3.0136,2.884,4.1484,0.3178,2.4623,2.2652,2.6287,3.3375,3.323,3.0227,2.6207
train,0,1.7261,0.895,-0.8965,0.054,-1.3017,0.6063,-0.7137,-0.9836,-0.3924,-0.212,0.0473,0.6405,1.1022,0.2311,1.2325,-1.5027
train,0,-0.5091,0.7111,-0.202,0.1766,0.8172,-0.6714,0.8334,-0.2162,-0.4412,-0.4152,1.7789,0.5045,0.4254,-0.5504,1.1845,-0.8735
train,1,2.4688,3.2991,4.6906,1.5438,4.0965,3.4953,2.5179,2.0551,2.3095,3.4172,2.9595,2.8345,3.2315,2.7479,3.3765,3.6841
train,0,0.6525,-0.1179,-0.3661,-0.149,-0.7719,-0.1662,-0.2416,0.1682,1.0689,1.0462,-0.3563,0.4824,0.2359,0.6093,0.0172,0.2126
train,2,7.428,6.2288,6.0217,6.4214,6.3323,6.9472,6.2374,5.0101,4.6063,6.2927,6.0472,6.7648,6.1705,6.7974,5.2748,5.234
train,1,3.9038,2.7122,3.125,3.8694,3.852,3.9182,2.8841,4.7114,2.3467,2.5993,3.0258,4.0949,3.3785,4.5786,3.688,3.6691
train,2,6.7796,4.9528,6.0179,5.8077,5.9112,5.561,7.2544,6.1186,5.5284,4.6987,6.0597,6.5133,6.2331,5.8104,7.2401,5.2545
train,1,3.448,4.1928,3.5619,3.3465,3.3291,2.2629,2.0474,4.2139,1.9028,3.2491,1.8978,1.8465,3.4595,2.8071,2.0411,4.0661
train,2,5.509,6.6632,5.3294,4.9569,6.0154,7.5493,5.3259,6.9023,6.1648,6.3599,7.111,5.321,5.9465,5.7764,6.4607,6.1183
train,0,0.0204,-0.4658,-0.0743,-1.0116,-1.3099,-1.3853,-0.5284,-0.2269,-0.9703,0.0129,1.064,-0.5363,-1.6683,-0.8537,1.0368,0.8785
train,2,5.9463,6.2309,6.6658,5.132,6.5727,6.1756,7.0847,6.911,6.4397,7.7188,5.999,5.6604,5.7274,5.2476,5.977,4.4973
train,1,2.2696,2.8734,3.8219,2.7307,2.4915,3.7979,2.4231,1.5844,2.3296,2.3216,2.7582,2.5135,2.2805,1.6283,3.1638,2.0869
train,0,1.1995,0.3378,0.2136,-0.5847,-2.0236,-0.6073,-0.651,-0.7624,0.0005,0.2799,-0.5165,0.642,0.2074,0.658,0.8197,0.9483
train,2,4.7562,6.1351,7.2261,6.0453,6.7674,6.8498,5.8627,5.5945,5.7204,4.9726,6.0653,7.1253,6.6205,6.5679,7.1217,5.5658
train,0,-0.7241,-0.517,0.1529,-1.5012,0.4974,0.4356,-0.348,0.4181,0.6035,0.2404,0.4059,1.1761,-0.371,0.1257,-0.4058,0.803
train,1,2.749,3.9903,3.8628,3.2541,3.9149,2.8834,2.9878,2.2818,2.9567,2.3745,1.7722,1.415,1.6035,3.1025,2.6708,3.6793
train,0,-0.6921,-0.8865,1.0684,-0.4603,-0.0053,0.6011,0.122,0.145,0.2341,-1.5125,-0.1471,0.4913,-1.0001,-1.1799,0.4353,-0.216
train,2,6.6376,4.8471,5.7632,6.4528,6.3204,5.3744,5.3137,6.7445,4.9717,7.1051,6.0155,6.2317,4.9725,5.541,6.5308,4.8671
train,0,0.8789,-0.3169,-0.4683,0.0014,-0.3234,1.0046,1.0691,0.5898,0.447,0.7414,0.3405,-0.0654,0.8339,0.2138,0.4658,1.1942
train,0,1.0768,0.2196,0.4797,-0.8284,0.1924,0.2422,1.1848,0.4291,0.2226,-0.1827,1.9965,0.1105,0.5742,1.1496,-0.0531,0.0506
train,2,5.5313,5.0763,5.0183,6.1947,5.1586,5.911,4.905,5.7574,6.4582,6.6685,5.7447,5.7913,6.4694,4.8076,5.4252,7.022
train,2,4.2171,5.1456,4.8534,6.1395,5.7763,6.6989,6.1427,5.8744,6.4519,7.1176,5.6807,6.1097,5.5885,5.3472,5.2744,5.5965
train,2,6.0529,6.8617,5.96,6.573,6.5282,5.8942,5.9995,5.4342,6.6043,5.0114,6.4557,7.1011,5.8541,5.4448,5.0356,6.2596
train,2,6.7279,6.6258,5.7221,5.8274,5.7382,6.1707,4.5174,6.5921,4.7965,5.6043,6.0171,5.6056,7.2771,5.9249,7.2071,6.9015
train,1,0.9822,2.4234,3.3256,3.8479,3.6448,3.4271,2.4021,2.4471,3.2234,3.0683,2.406,1.0935,2.6075,3.1016,4.1522,4.3168
train,0,-1.1746,-1.1194,-1.6491,-0.6886,0.3339,-0.3521,-0.021,-0.7308,0.1033,-1.2041,0.1873,-0.364,-0.9133,0.9363,1.212,-0.4105
train,0,0.3034,-0.6828,-0.4393,0.5609,-0.1682,-0.1272,0.5038,-0.3187,-0.7506,0.9758,2.3748,0.3195,-1.3161,0.5222,-0.3123,0.0235
train,1,3.4023,3.934,2.6964,4.1812,2.6729,3.304,3.7052,2.2984,2.4607,1.6499,3.1265,2.9578,2.7491,3.3827,1.3747,2.9819
train,0,0.9934,0.5031,-0.6654,-0.8544,1.155,-1.7473,-0.3064,-0.8174,0.2623,1.9966,-0.7527,-0.0807,-0.68,-0.122,0.7619,0.8208
train,0,0.3659,0.6628,-1.028,0.2111,-0.5695,0.4841,1.0518,0.0396,-0.0818,0.1408,-2.2695,0.5917,0.431,0.1263,-0.3041,-0.5613
